en,de,description,file,hash
All,Alle,,site/modules/FrontendComments/FrontendCommentsManager.module,b1c94ca2fbc3e78fc30069c8d0f01680
Approved,Bestätigt,,site/modules/FrontendComments/FrontendCommentsManager.module,6f8063417ab31f38d864c28302f3de2f
Pending,Wartend,,site/modules/FrontendComments/FrontendCommentsManager.module,2d13df6f8b5e4c5af9f87e0dc39df69d
Spam,=,,site/modules/FrontendComments/FrontendCommentsManager.module,e9dfd31cc505d51fc26975250750deab
Featured,Hervorgehoben,,site/modules/FrontendComments/FrontendCommentsManager.module,15422d54ec0d47000dc86a9820a5237e
Author,Autor,,site/modules/FrontendComments/FrontendCommentsManager.module,a517747c3d12f99244ae598910d979c5
"Page (ID)","Seite (ID)",,site/modules/FrontendComments/FrontendCommentsManager.module,1cbd7dd7d2ae88cea04cb9641dbf488a
Mail,E-Mail,,site/modules/FrontendComments/FrontendCommentsManager.module,4dfbb099eafd3c82e033bf92946d3ce6
Rating,Bewertung,,site/modules/FrontendComments/FrontendCommentsManager.module,dda9c06f33071c9b6fc237ee164109d8
IP,=,,site/modules/FrontendComments/FrontendCommentsManager.module,a12a3079e14ced46e69ba52b8a90b21a
"Comment field",Kommentarfeld,,site/modules/FrontendComments/FrontendCommentsManager.module,767b0c6f7a678eabc9cd330c96d4d92b
"Sort by Status","Nach Status sortieren",,site/modules/FrontendComments/FrontendCommentsManager.module,d1c8a5ab99c33eb6434b49448816fb74
"Sort by Date","Nach Datum sortieren",,site/modules/FrontendComments/FrontendCommentsManager.module,caf7d4ce2b5f1589e4f239c752f1b234
"From new to old","Von neu zu alt",,site/modules/FrontendComments/FrontendCommentsManager.module,ad015091c99fbd97ab93cbb5bacdb188
"From old to new","Von alt nach neu",,site/modules/FrontendComments/FrontendCommentsManager.module,9761167c9ee8ae1c8bed06dca5c3f6f8
"Number of comments","Anzahl der Kommentare",,site/modules/FrontendComments/FrontendCommentsManager.module,0f2898ac15073825a5c5d88723264685
"per page","pro Seite",,site/modules/FrontendComments/FrontendCommentsManager.module,4f5d5f295ddc8fd8673e74dd5fbe114a
"Additional filters applied","Zusätzlich angewandte Filter",,site/modules/FrontendComments/FrontendCommentsManager.module,53c8be9b4b33ea115ed76b2582d8bf03
"You can remove each additional filter by clicking on the tag.","Sie können jeden zusätzlichen Filter entfernen, indem Sie auf das Tag klicken.",,site/modules/FrontendComments/FrontendCommentsManager.module,013c7dd8e3fd7bc18df282c8bedb4608
"At the moment there are no additional filters applied.","Derzeit sind keine zusätzlichen Filter angewendet.",,site/modules/FrontendComments/FrontendCommentsManager.module,6d15f5886ec45345c0cf407cdf5fceaa
"You can apply the following filters by clicking on the appropriate links in the comments below: %s.","Sie können die folgenden Filter anwenden, indem Sie auf die entsprechenden Links in den Kommentaren unten klicken: %s.",,site/modules/FrontendComments/FrontendCommentsManager.module,8b65190a6dde38b110f896879325fc55
"Comment #%s","Kommentar #%s",,site/modules/FrontendComments/FrontendCommentsManager.module,d822ed4022085b030bdd4bd4a3f55422
Changed,Geändert,,site/modules/FrontendComments/FrontendCommentsManager.module,820dbd2b8f606aff866c0bbfb6b737c1
"Edit this comment","Diesen Kommentar bearbeiten",,site/modules/FrontendComments/FrontendCommentsManager.module,ee6ddd648ece1a395506fefa4c25a388
"Edit the page where the comment is located","Bearbeiten Sie die Seite, auf der sich der Kommentar befindet.",,site/modules/FrontendComments/FrontendCommentsManager.module,04486591c35a6fd6654a1f8180631138
"View this comment on the frontend","Diesen Kommentar im Frontend anzeigen",,site/modules/FrontendComments/FrontendCommentsManager.module,d63d0d4351bd9320e30b912173327989
Status,=,,site/modules/FrontendComments/FrontendCommentsManager.module,ec53a8c4f07baed5d8825072c89799be
"Show all comments from the author with the name %s","Alle Kommentare des Autors mit dem Namen %s anzeigen",,site/modules/FrontendComments/FrontendCommentsManager.module,cb6a6354f331f2c943f3016fb1161303
