en,de,description,file,hash
"Reply to this comment","Auf diesen Kommentar antworten",,site/modules/FieldtypeFrontendComments/Comment.php,bc9e60a9d89ccff64f5282425aa1374e
Reply,Antworten,,site/modules/FieldtypeFrontendComments/Comment.php,25d8df6e580905091a0d5ef5b9e05bf0
"Write an answer to this comment","Eine Antwort auf diesen Kommentar schreiben",,site/modules/FieldtypeFrontendComments/Comment.php,6f38352564cd325f0ed01d3959301594
"Like the comment","Der Kommentar gefällt",,site/modules/FieldtypeFrontendComments/Comment.php,32a1bab8a685376f9632903067d90a2e
"Dislike the comment","Der Kommentar gefällt nicht",,site/modules/FieldtypeFrontendComments/Comment.php,fd395bf6e34455835034bcd2c3a06d22
en,de,description,file,hash
"It seems that you have rated this comment within the last %s. In this case, you may not vote again.","Es scheint, dass Sie diesen Kommentar innerhalb der letzten %s bewertet haben. In diesem Fall dürfen Sie nicht erneut abstimmen.",,site/modules/FieldtypeFrontendComments/CommentArray.php,f7d296ae2eaceb967af861bc18a96135
en,de,description,file,hash
"Comment page",Kommentar-Seite,,site/modules/FieldtypeFrontendComments/CommentForm.php,e7663040950627ad4d49f433acbec336
Name,Name,,site/modules/FieldtypeFrontendComments/CommentForm.php,49ee3087348e8d44e1feda1917443987
Comment,Kommentar,,site/modules/FieldtypeFrontendComments/CommentForm.php,0be8406951cdfda82f00f79328cf4efc
"HTML is not allowed.","HTML ist nicht erlaubt",,site/modules/FieldtypeFrontendComments/CommentForm.php,458a8bd4c7dd305769961f96822e1e05
Rating,Bewertung,,site/modules/FieldtypeFrontendComments/CommentForm.php,dda9c06f33071c9b6fc237ee164109d8
"Notify me about new replies","Ich möchte über neue Antworten benachrichtigt werden",,site/modules/FieldtypeFrontendComments/CommentForm.php,7e8fa69cdef8e9e495ffb4a29dcb5b08
"You can cancel the receiving of notification emails everytime by clicking the link inside the notification email.","Sie können den Empfang von Benachrichtigungs-E-Mails jederzeit beenden, indem Sie auf den Link in der Benachrichtigungs-E-Mail klicken.",,site/modules/FieldtypeFrontendComments/CommentForm.php,82e10f630644cddf1214fff13c065901
"No notification","Keine Benachrichtigungen",,site/modules/FieldtypeFrontendComments/CommentForm.php,6b74ea635c096c7f10b7a6e504b76a80
"Notify me about replies to this comment only","Benachrichtigungen nur über Antworten zu diesem Kommentar",,site/modules/FieldtypeFrontendComments/CommentForm.php,198ce0392725a9becf6ef87683683c16
"Notify me about replies to all comments","Benachrichtigung auf Antworten zu allen Kommentaren",,site/modules/FieldtypeFrontendComments/CommentForm.php,374856ed936b1d67f6d33e8570777025
Cancel,Abbrechen,,site/modules/FieldtypeFrontendComments/CommentForm.php,ea4788705e6873b424c65e91c2846b19
"Click to cancel the reply","Klicken Sie, um die Antwort abzubrechen",,site/modules/FieldtypeFrontendComments/CommentForm.php,773f97d38b07322957d6c5bce8ab8aee
"The status of the comment has already been changed. For security reasons, however, this is only allowed once via mail link. If you want to change the status once more, you have to login to the backend.","Der Status des Kommentars wurde bereits einmal geändert. Aus Sicherheitsgründen ist dies jedoch nur einmal per Mail-Link möglich. Wenn Sie den Status noch einmal ändern möchten, müssen Sie sich im Backend anmelden.",,site/modules/FieldtypeFrontendComments/CommentForm.php,259941302ddfda2ae40f80d4546a1c54
No,Nein,,site/modules/FieldtypeFrontendComments/CommentForm.php,bafd7322c6e97d25b6299b5d6fe8920b
Yes,Ja,,site/modules/FieldtypeFrontendComments/CommentForm.php,93cba07454f06a4a960172bbd6e2a435
"We are sorry, but there was no comment with this code found in the database.","Es tut uns leid, aber es wurde kein Kommentar mit diesem Code in der Datenbank gefunden.",,site/modules/FieldtypeFrontendComments/CommentForm.php,962a48ab27f4b800092cf06b69152e3e
"Directly to the comment","Direkt zum Kommentar",,site/modules/FieldtypeFrontendComments/CommentForm.php,cc87c5b3174c59a44feb9923a1c0d369
"To the comment","Zum Kommentar",,site/modules/FieldtypeFrontendComments/CommentForm.php,4da927258b51836bf868124df5d1cc4a
"Comment status has been changed from ""%s"" to ""%s"". %s","Der Kommentarstatus wurde von ""%s"" auf ""%s"" geändert. %s",,site/modules/FieldtypeFrontendComments/CommentForm.php,336d7a11e017f8c8e188844f85c05cd2
"An error occured during the saving of the new comment status.","Beim Speichern des neuen Kommentarstatus ist ein Fehler aufgetreten.",,site/modules/FieldtypeFrontendComments/CommentForm.php,109399baaab87bfd0bd2a69a52894aa1
"You have successfully unsubscribed from email notifications and you will no longer receive notifications of new replies.","Sie haben sich erfolgreich von den E-Mail-Benachrichtigungen abgemeldet und werden nicht mehr über neue Antworten benachrichtigt.",,site/modules/FieldtypeFrontendComments/CommentForm.php,1fb10ca777f60fbba90c339e9cae2f80
"You have tried to unsubscribe from getting notifications, but your notification status is already disabled.","Sie haben versucht, den Erhalt von Benachrichtigungen abzubestellen, aber Ihr Benachrichtigungsstatus ist bereits deaktiviert.",,site/modules/FieldtypeFrontendComments/CommentForm.php,24dd9ac88f895072e81dc1a7fa4a3f18
"Thank you! Your comment has been submitted successfully. %s","Vielen Dank! Ihr Kommentar wurde erfolgreich übermittelt. %s",,site/modules/FieldtypeFrontendComments/CommentForm.php,f654dbb1c71a8fb68d5dea761168de35
"Thank you for your comment. Please be patient. Your comment has been submitted successfully and is waiting for approval.","Vielen Dank für Ihren Kommentar. Bitte haben Sie Geduld. Ihr Kommentar wurde erfolgreich übermittelt und wartet auf die Freischaltung.",,site/modules/FieldtypeFrontendComments/CommentForm.php,a0acc46c97fc136059a08eb445746993
Star,Stern,"Singular Version",site/modules/FieldtypeFrontendComments/CommentForm.php,26f93e6e68e28a698377e941cb59f29a
Stars,Sterne,"Plural Version",site/modules/FieldtypeFrontendComments/CommentForm.php,d37c550d781bfb93b0088a2470598bcf
en,de,description,file,hash
none,keine,,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,334c4a4c42fdb79d7ebc3e73b517e6f8
"no selection","keine Auswahl","add an empty option",site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,00fd39176b23537f6b3660be8c197f5a
"The status of the comment has already been changed. For security reasons, however, this is only allowed once via mail link. If you want to change the status once more, you have to login to the backend.","Der Status des Kommentars wurde bereits einmal geändert. Aus Sicherheitsgründen ist dies jedoch nur einmal per Mail-Link möglich. Wenn Sie den Status noch einmal ändern möchten, müssen Sie sich im Backend anmelden.",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,259941302ddfda2ae40f80d4546a1c54
"Comment moderation","Moderation von Kommentaren",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,c98106d2a3b2a0a14016f73894f59d10
"This determines when a newly posted comment will appear on your site.","Damit wird festgelegt, wann ein neu eingestellter Kommentar auf Ihrer Website erscheint.",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,18800239150e923984ade45f5e961fbd
"None - Comments posted immediately","Keine - Kommentare werden sofort veröffentlicht",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,0c6e8a761530efc7ecfe773a5b5a6f7e
"All - All comments must be approved by user with page edit access","Alle - Alle Kommentare müssen von einem Moderator genehmigt und freigeschalten werden",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,4f214f3246f03a94773427de4f2e7699
"Only New - Only comments from users without prior approved comments require approval","Nur neue - Nur Kommentare von Nutzern ohne zuvor genehmigte Kommentare müssen genehmigt werden",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,d3a76eec189143c6945282d37bd81bb5
"Quiet save?","Stilles Speichern?",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,e90234905413e689d67361b8f618b63f
"When checked, the page modification time and user will not be updated when a comment will be changed in the backend.","Wenn diese Option aktiviert ist, werden die Änderungszeit der Seite und der Benutzer nicht aktualisiert, wenn ein Kommentar im Backend geändert wird.",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,a7edd4158ae7a929a15306da82a9c7e2
"Only to mention: The modification time and user will only be changed, if you save the page in the backend. Changing the comment status via mail link does not affect the modification time and user.","Hinweis: Die Änderungszeit und der Benutzer werden nur geändert, wenn Sie die Seite im Backend speichern. Das Ändern des Kommentarstatus per Mail-Link hat keinen Einfluss auf die Änderungszeit und den Benutzer.",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,171aaf9f146e74a94bd0f49d66b37520
"Form fields configuration","Konfiguration der Formularfelder",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,7efb7dbdb199c40215ee92697e332adb
"Select the field for the user image","Wählen Sie das Feld für das Benutzerbild",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,1d151ffd45d242597a08de197a3035ae
"Select the field of the user template which contains the user image","Wählen Sie das Feld aus der User-Vorlage, welches das das Benutzerbild enthält",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,9dca1f402b018bc81968130550cd0f09
"Only user fields of the type ""FieldtypeImage"" and the configuration setting for a single image will be displayed (if present).","Es werden nur Benutzerfelder vom Typ ""FieldtypeImage"" und mit der Konfigurationseinstellung für ein einzelnes Bild angezeigt (falls vorhanden).",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,f5d3a8584d11f1af7b6bf10c7a168b4e
"Set the size of the image","Größe des Bildes festlegen",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,9316ab8c35ffd3009bea0dc20246d2f9
"Enter a value in px. The image will be displayed squared.","Geben Sie einen Wert in px ein. Das Bild wird quadratisch angezeigt.",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,c24ad35641109faa3e1fd3c33c4a561e
"Default email configuration",Standard-E-Mail-Konfiguration,,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,7507729fd86157f8c6c06b36b11c9b92
"Select an email template","Wählen Sie eine E-Mail-Vorlage aus",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,391b1c0e2e6a571d16ee13451bfe5740
"inherit from FrontendForms settings","vom FrontendForms-Modul übernehmen",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,78325c4af90ffc228c3798aa64c67ad1
"no HTML template (plain text only)","Keine HTML-Vorlage (nur Text)",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,768e9766bf4b93f28bb332609b8e7429
"Select if you want to use a HTML template for the notification emails or not.","Wählen Sie, ob Sie eine HTML-Vorlage für die Benachrichtigungs-E-Mails verwenden möchten oder nicht.",,site/modules/FieldtypeFrontendComments/FieldtypeFrontendComments.module,b030d134af6397b6ed92850a4e90fff5
